lambda,cdf,ccdf
-20,1.1204818099184349519292346362882557194946298088821167117466765054e-77513883,1.0000000000000000000000000000000000000000000000000000000000000000e0
-19.75,2.0537921179681600637783135085988226517308766538701541243428936874e-60367874,1.0000000000000000000000000000000000000000000000000000000000000000e0
-19.5,5.8244747448745543199137137057974491416356169458521084420553721589e-47014549,1.0000000000000000000000000000000000000000000000000000000000000000e0
-19.25,1.2486343236256475726543647644437929232287719735843647871843399148e-36614968,1.0000000000000000000000000000000000000000000000000000000000000000e0
-19,2.5940555171089198572147217267426151680192076998361680054939647757e-28515767,1.0000000000000000000000000000000000000000000000000000000000000000e0
-18.75,5.6799391788101721313019044609662089317789822527876290471563813458e-22208103,1.0000000000000000000000000000000000000000000000000000000000000000e0
-18.5,4.9428709347275827834518222416761304051927284104168731132574843029e-17295689,1.0000000000000000000000000000000000000000000000000000000000000000e0
-18.25,3.3802323108805396551129836962202536703908185553045990958409660116e-13469897,1.0000000000000000000000000000000000000000000000000000000000000000e0
-18,1.6515641649896058098349693057460459260500790525664426157093000044e-10490367,1.0000000000000000000000000000000000000000000000000000000000000000e0
-17.75,1.9268218152213015478361941733932640604379855052229035082406599373e-8169907,1.0000000000000000000000000000000000000000000000000000000000000000e0
-17.5,2.5946172638397164355397667666191799947551352858624588447212085635e-6362731,1.0000000000000000000000000000000000000000000000000000000000000000e0
-17.25,4.0801406859301551930360330117135268852627245892148088411499893491e-4955301,1.0000000000000000000000000000000000000000000000000000000000000000e0
-17,2.3009924105601638299739430086578199294939541392839097944663605059e-3859193,1.0000000000000000000000000000000000000000000000000000000000000000e0
-16.75,8.8903686471795348652616649780190271700808468883970772033236985218e-3005544,1.0000000000000000000000000000000000000000000000000000000000000000e0
-16.5,8.4675099856144213656006632001268428625245438528541782699677137168e-2340721,1.0000000000000000000000000000000000000000000000000000000000000000e0
-16.25,3.9471643833245474448560144328508050941693762196096376256994687311e-1822956,1.0000000000000000000000000000000000000000000000000000000000000000e0
-16,1.3727482089914259045834840541337801967100893306654446673294470386e-1419720,1.0000000000000000000000000000000000000000000000000000000000000000e0
-15.75,2.0180418035098239129321698781906328684583120836619035955015307639e-1105680,1.0000000000000000000000000000000000000000000000000000000000000000e0
-15.5,1.1096296428708732462145834617255170759748610527419274981061295635e-861105,1.0000000000000000000000000000000000000000000000000000000000000000e0
-15.25,1.1387038322261420841551124974462487486090690643636403180057204895e-670630,1.0000000000000000000000000000000000000000000000000000000000000000e0
-15,1.4332519925435114341728954597445959946343009084626428680055076150e-522288,1.0000000000000000000000000000000000000000000000000000000000000000e0
-14.75,1.2939112241967596546036521627818710737681681042060419538819314427e-406759,1.0000000000000000000000000000000000000000000000000000000000000000e0
-14.5,1.4621343559946247192972084114121479597088662415047190872334203340e-316785,1.0000000000000000000000000000000000000000000000000000000000000000e0
-14.25,1.0964591230455981686005493687323830000998162165176551651967838801e-246713,1.0000000000000000000000000000000000000000000000000000000000000000e0
-14,1.2109491568343835739941985458710463018230427811013247040406930263e-192141,1.0000000000000000000000000000000000000000000000000000000000000000e0
-13.75,6.9993902271870986089211908828744175533138154143530685946049981242e-149641,1.0000000000000000000000000000000000000000000000000000000000000000e0
-13.5,3.0460982317391215319665565828093846776124898009145678464701290213e-116541,1.0000000000000000000000000000000000000000000000000000000000000000e0
-13.25,3.3134335540240930583273459166937879353376494777661968487575134020e-90763,1.0000000000000000000000000000000000000000000000000000000000000000e0
-13,3.0713220893870954230170111055977277500289097848963990407186122509e-70687,1.0000000000000000000000000000000000000000000000000000000000000000e0
-12.75,4.7664014904385679073810889982335692392355537071094999786855903632e-55052,1.0000000000000000000000000000000000000000000000000000000000000000e0
-12.5,2.4495594280606335314378077411446078786664345342001276093219227117e-42875,1.0000000000000000000000000000000000000000000000000000000000000000e0
-12.25,4.2961363031408564790900592885824300500025346924508066715746703568e-33392,1.0000000000000000000000000000000000000000000000000000000000000000e0
-12,1.5956274067245286410195841385251572773348192296317156197208653426e-26006,1.0000000000000000000000000000000000000000000000000000000000000000e0
-11.75,1.2662649904625374384842345317958652550378161397896464479693320017e-20254,1.0000000000000000000000000000000000000000000000000000000000000000e0
-11.5,4.9938970693499325038595934324654742744337966519973310064274569843e-15775,1.0000000000000000000000000000000000000000000000000000000000000000e0
-11.25,2.6500472018104400833845022919967164813185221045878560839245929348e-12286,1.0000000000000000000000000000000000000000000000000000000000000000e0
-11,2.8633741808844208824247088595787984293557528935421310034446402240e-9569,1.0000000000000000000000000000000000000000000000000000000000000000e0
-10.75,3.1390604768599907104965961005771395609467623986983910118610428181e-7453,1.0000000000000000000000000000000000000000000000000000000000000000e0
-10.5,3.0363688110490651291650185800734025318871278165076007120801295548e-5805,1.0000000000000000000000000000000000000000000000000000000000000000e0
-10.25,8.8471146637583770180104504083955746426234005490558703088050587882e-4522,1.0000000000000000000000000000000000000000000000000000000000000000e0
-10,3.3260149051927588647753175114022932441178491107086123000567407765e-3522,1.0000000000000000000000000000000000000000000000000000000000000000e0
-9.75,1.0088295994147660598849217326439669784223845775558306600623687412e-2743,1.0000000000000000000000000000000000000000000000000000000000000000e0
-9.5,1.9866934281752189724055749456365930067200105410680722443654864923e-2137,1.0000000000000000000000000000000000000000000000000000000000000000e0
-9.25,3.1089969710979147362733479674838544641798118929590621765813493108e-1665,1.0000000000000000000000000000000000000000000000000000000000000000e0
-9,1.7785285193350583367904029494309671994775676093995895621183526782e-1297,1.0000000000000000000000000000000000000000000000000000000000000000e0
-8.75,4.6972562107994261177572583777271691960646926417904179181044434808e-1011,1.0000000000000000000000000000000000000000000000000000000000000000e0
-8.5,5.6150301901719486863505198260931814746408074580686952166901073408e-788,1.0000000000000000000000000000000000000000000000000000000000000000e0
-8.25,3.1209428355607004493869807265189570740543920617742832277249043984e-614,1.0000000000000000000000000000000000000000000000000000000000000000e0
-8,6.5912637851011215159102510043113981446377439083937683657344924554e-479,1.0000000000000000000000000000000000000000000000000000000000000000e0
-7.875,6.4315606518536554786300713068658381666566854973899031956806206627e-423,1.0000000000000000000000000000000000000000000000000000000000000000e0
-7.75,1.6669618919360711658256820175040670416095900543316671484571295067e-373,1.0000000000000000000000000000000000000000000000000000000000000000e0
-7.625,6.7993191324390609787377135469614672433046219879356189132447180425e-330,1.0000000000000000000000000000000000000000000000000000000000000000e0
-7.5,2.0980381089243631839056453353815562109405420495124711798803741162e-291,1.0000000000000000000000000000000000000000000000000000000000000000e0
-7.375,1.9576019409659561080411935992787881621535276877081169020676758383e-257,1.0000000000000000000000000000000000000000000000000000000000000000e0
