u = cdf,v = x,g,gg
2.0249554241427937851e-1,-0.46875,5.6159254927864241142e0,-3.8720852422255336930e0
2.0807025257745147567e-1,-0.4375,5.5959521798436065624e0,-3.2989238757891246948e0
2.1366335293593367292e-1,-0.40625,5.5790376832168295567e0,-2.7541970817492595401e0
2.1927194805357824279e-1,-0.375,5.5650580433530633679e0,-2.2351655104869250324e0
2.2489321421051360124e-1,-0.34375,5.5538979383539757863e0,-1.7393482615728474301e0
2.3052440170585177231e-1,-0.3125,5.5454500176016682926e0,-1.2644944152205887283e0
2.3616283680273785497e-1,-0.28125,5.5396142935577117821e0,-8.0855800069603468276e-1
2.4180592333444175029e-1,-0.25,5.5362975860857240679e0,-3.6967595050736266944e-1
2.4745114399032080319e-1,-0.21875,5.5354130142485198797e0,5.3851347076941508375e-2
2.5309606130047599537e-1,-0.1875,5.5368795310625151111e0,4.6357723051427531830e-1
2.5873831833779903842e-1,-0.15625,5.5406214971631145674e0,8.6092396975968854324e-1
2.6437563915587752255e-1,-0.125,5.5465682897526684790e0,1.2471962413472986800e0
2.7000582898090370487e-1,-0.09375,5.5546539435736938989e0,1.6235930882786898265e0
2.7562677417533224326e-1,-0.0625,5.5648168209800366817e0,1.9912185505319047376e0
2.8123644199056499057e-1,-0.03125,5.5769993084723933244e0,2.3510911274214027383e0
2.8683288012541777457e-1,0,5.5911475373263936614e0,2.7041522119342490487e0
2.9241421610655494827e-1,0.03125,5.6072111261750018485e0,3.0512736190181909010e0
2.9797865650647159510e-1,0.0625,5.6251429436155947850e0,3.3932643141634646348e0
3.0352448601396897847e-1,0.09375,5.6448988890985904550e0,3.7308764351315700562e0
3.0905006637141370265e-1,0.125,5.6664376905214385336e0,4.0648106880279323004e0
3.1455383519240190312e-1,0.15625,5.6897207171013613481e0,4.3957211888266781972e0
3.2003430467277268813e-1,0.1875,5.7147118062343879569e0,4.7242198127104332817e0
3.2549006020723540064e-1,0.21875,5.7413771031686686211e0,5.0508801059957712441e0
3.3091975892319781116e-1,0.25,5.7696849124282994188e0,5.3762408088139172745e0
3.3632212814271123511e-1,0.28125,5.7996055600212581041e0,5.7008090309687417310e0
3.4169596378278738576e-1,0.3125,5.8311112655527283235e0,6.0250631183824701921e0
3.4704012870369359995e-1,0.34375,5.8641760234441098297e0,6.3494552431634976942e0
3.5235355101420051309e-1,0.375,5.8987754925292980239e0,6.6744137465043445457e0
3.5763522234214147941e-1,0.40625,5.9348868933641829340e0,7.0003452602675362055e0
3.6288419607804780947e-1,0.4375,5.9724889126434894560e0,7.3276366301798758285e0
3.6809958559904964664e-1,0.46875,6.0115616141717002644e0,7.6566566609769284049e0
3.7328056247968012295e-1,0.5,6.0520863558824416609e0,7.9877577015728343706e0
3.7842635469569113072e-1,0.53125,6.0940457124438793715e0,8.3212770863355537851e0
3.8353624482648317012e-1,0.5625,6.1374234030268188522e0,8.6575384467895561221e0
3.8860956826126960637e-1,0.59375,6.1822042238477368870e0,8.9968529065167773615e0
3.9364571141363741810e-1,0.625,6.2283739851312485573e0,9.3395201706563675266e0
3.9864410994873208630e-1,0.65625,6.2759194521658579445e0,9.6858295201918168260e0
4.0360424702688345906e-1,0.6875,6.3248282901535400239e0,1.0036060720140924542e1
4.0852565156710189527e-1,0.71875,6.3750890125780126786e0,1.0390484849812772049e1
4.1340789653350929690e-1,0.75,6.4266909328387122836e0,1.0749365062451598109e1
4.1825059724742724538e-1,0.78125,6.4796241189176906969e0,1.1112957280837374270e1
4.2305340972752374839e-1,0.8125,6.5338793508650912873e0,1.1481510834745709486e1
4.2781602906012040203e-1,0.84375,6.5894480809057034430e0,1.1855269045575668309e1
4.3253818780148235207e-1,0.875,6.6463223959844886008e0,1.2234469762924590949e1
4.3721965441365353339e-1,0.90625,6.7044949825830509026e0,1.2619345857416549937e1
4.4186023173515848508e-1,0.9375,6.7639590936519133996e0,1.3010125673669089001e1
4.4645975548766877105e-1,0.96875,6.8247085175152655138e0,1.3407033446905593328e1
4.5101809281952585982e-1,1,6.8867375486156677716e0,1.3810289686382967434e1
4.6001082547256943842e-1,1.0625,7.0146139772660445219e0,1.4636713062194844641e1
4.6883794245045029567e-1,1.125,7.1475518503336953428e0,1.5491098099576302925e1
4.7749937251267964154e-1,1.1875,7.2855211318793828649e0,1.6375107395798816699e1
4.8599542056238026306e-1,1.25,7.4284976025005895556e0,1.7290371736758249555e1
4.9432673025162946506e-1,1.3125,7.5764622563589630302e0,1.8238496831827042996e1
5.0249424901652591508e-1,1.375,7.7294007630564160539e0,1.9221069073149577435e1
5.1049919548629238048e-1,1.4375,7.8873029865985067772e0,2.0239660468447714365e1
5.1834302919476012105e-1,1.5,8.0501625547158673478e0,2.1295832871589725789e1
5.2602742251037822458e-1,1.5625,8.2179764726963708880e0,2.2391141614819747664e1
5.3355423469190897267e-1,1.625,8.3907447766360320609e0,2.3527138629791558551e1
5.4092548797072070918e-1,1.6875,8.5684702216649637256e0,2.4705375130718641177e1
5.4814334555663845043e-1,1.75,8.7511580012624420911e0,2.5927403921497440212e1
5.5521009146227586438e-1,1.8125,8.9388154942559619119e0,2.7194781379145488388e1
5.6212811204031342377e-1,1.875,9.1314520365145714678e0,2.8509069157968883784e1
5.6889987912901283082e-1,1.9375,9.3290787147064088013e0,2.9871835652250416869e1
5.7552793470311284603e-1,2,9.5317081798023368429e0,3.1284657249700374493e1
5.8836334753367754673e-1,2.125,9.9520328992087847667e0,3.4266817544837752071e1
6.0065559115706427981e-1,2.25,1.0392552658814845205e1,3.7468357951479824258e1
6.1242626400693629948e-1,2.375,1.0853409666872501206e1,4.0902268113150127527e1
6.2369704035487186366e-1,2.5,1.1334758372570537825e1,4.4581735765663821791e1
6.3448944520421525468e-1,2.625,1.1836762573246748915e1,4.8520157868994284067e1
6.4482467718710305321e-1,2.75,1.2359593021820309649e1,5.2731147718189092926e1
6.5472347169815319032e-1,2.875,1.2903425445955112263e1,5.7228538950782946561e1
6.6420599752421811067e-1,3,1.3468438907501444893e1,6.2026387155320775715e1
6.7329178116859354034e-1,3.125,1.4054814444201911444e1,6.7138969626118368497e1
6.8199965391232063128e-1,3.25,1.4662733946313579249e1,7.2580783688831813348e1
6.9034771740374218477e-1,3.375,1.5292379229314460192e1,7.8366543929509584219e1
6.9835332422369826739e-1,3.5,1.5943931270700897874e1,8.4511178589182073031e1
7.0603307044375080265e-1,3.625,1.6617569584403888424e1,9.1029825331355912955e1
7.1340279768610982924e-1,3.75,1.7313471710833854098e1,9.7937826547119121911e1
7.2047760261457262074e-1,3.875,1.8031812804219012045e1,1.0525072432905267319e2
7.2727185214387559838e-1,4,1.8772765301898640083e1,1.1298425521865118963e2
7.4007262418495588840e-1,4.25,2.0323179163561697883e1,1.2977710228268582966e2
7.5190626740465383175e-1,4.5,2.1966029899618141660e1,1.4844594253590803109e2
7.6286376121860206382e-1,4.75,2.3702579209116287960e1,1.6912311299513928785e2
7.7302677994283581747e-1,5,2.5534031774838460315e1,1.9194354103811093138e2
7.8246856467781426818e-1,5.25,2.7461534757100694194e1,2.1704457868577475886e2
7.9125476296790098716e-1,5.5,2.9486178406550155443e1,2.4456584485077367852e2
7.9944421630620917405e-1,5.75,3.1608997442683322989e1,2.7464907652402608207e2
