x,pdf_derivative
-8,approx 0
-7.75,1.2155961846133000909e-367
-7.5,9.2805290981623684379e-286
-7.25,5.0323214936551173495e-222
-7,2.0044222879849147802e-172
-6.75,7.8486678082625901286e-134
-6.5,8.2161688868157976253e-104
-6.25,1.8115674440504796799e-80
-6,2.5220830429002250762e-62
-5.75,3.1326779804069800761e-48
-5.5,2.7304708885780129028e-37
-5.25,8.3232911528985219921e-29
-5,3.0998497872897259361e-22
-4.75,3.7362745907436678485e-17
-4.5,3.1120426292260883418e-13
-4.25,3.2337495933108466138e-10
-4,6.6400779407740705946e-8
-3.875,5.8126569863067987456e-7
-3.75,3.8543601387278114396e-6
-3.625,2.0000080919190531587e-5
-3.5,8.3574164594805236470e-5
-3.375,2.8844302397086886889e-4
-3.25,8.4077960480477081806e-4
-3.125,2.1109387152373072640e-3
-3,4.6447409835118250931e-3
-2.875,9.0941446644213186583e-3
-2.75,1.6058410334927381624e-2
-2.625,2.5876366665296240887e-2
-2.5,3.8446457143331785308e-2
-2.375,5.3148948115855247870e-2
-2.25,6.8905035116437258735e-2
-2.125,8.4354300976121219922e-2
-2,9.8092584087920801117e-2
-1.9375,1.0392692871979001813e-1
-1.875,1.0890141444268167365e-1
-1.8125,1.1292023846092517884e-1
-1.75,1.1591534524273115015e-1
-1.6875,1.1784679631038906440e-1
-1.625,1.1870191926302770802e-1
-1.5625,1.1849344464642079787e-1
-1.5,1.1725686457199733013e-1
-1.4375,1.1504725150421435543e-1
-1.375,1.1193576362159315445e-1
-1.3125,1.0800603921801191264e-1
-1.25,1.0335065118786092316e-1
-1.1875,9.8067757647499465134e-2
-1.125,9.2258049376960200681e-2
-1.0625,8.6022061414663386958e-2
-1,7.9457886427318615176e-2
-0.96875,7.6082245722656564508e-2
-0.9375,7.2659302346588561041e-2
-0.90625,6.9199863966203635435e-2
-0.875,6.5714306590148075414e-2
-0.84375,6.2212549259345385221e-2
-0.8125,5.8704033913885222851e-2
-0.78125,5.5197710106167189250e-2
-0.75,5.1702024217902317272e-2
-0.71875,4.8224912831659677510e-2
-0.6875,4.4773799905640349623e-2
-0.65625,4.1355597402629258846e-2
-0.625,3.7976709030008569324e-2
-0.59375,3.4643036756740324555e-2
-0.5625,3.1359989784805340927e-2
-0.53125,2.8132495666225983027e-2
-0.5,2.4965013272051424120e-2
-0.46875,2.1861547336137934113e-2
-0.4375,1.8825664313849450727e-2
-0.40625,1.5860509313613103343e-2
-0.375,1.2968823877308867826e-2
-0.34375,1.0152964403508924449e-2
-0.3125,7.4149210254033678858e-3
-0.28125,4.7563367726808905574e-3
-0.25,2.1785268635328369367e-3
-0.21875,-3.1750201079855469541e-4
-0.1875,-2.7310325309918336494e-3
-0.15625,-5.0616178314918382213e-3
-0.125,-7.3090629127251987539e-3
-0.09375,-9.4734064642070491690e-3
-0.0625,-1.1554903166983093026e-2
-0.03125,-1.3554006532674299009e-2
0,-1.5471352326106196999e-2
0.03125,-1.7307742609093318223e-2
0.0625,-1.9064130434386666906e-2
0.09375,-2.0741605211047196675e-2
0.125,-2.2341378755545461692e-2
0.15625,-2.3864772036667857623e-2
0.1875,-2.5313202616791689364e-2
0.21875,-2.6688172787231706485e-2
0.25,-2.7991258391115976365e-2
0.28125,-2.9224098323575143154e-2
0.3125,-3.0388384695882793262e-2
0.34375,-3.1485853647523225573e-2
0.375,-3.2518276787945043218e-2
0.40625,-3.3487453247944789865e-2
0.4375,-3.4395202319176222341e-2
0.46875,-3.5243356659161508210e-2
0.5,-3.6033756038356427227e-2
0.53125,-3.6768241605260373978e-2
0.5625,-3.7448650645233539910e-2
0.59375,-3.8076811808560132166e-2
0.625,-3.8654540783351976883e-2
0.65625,-3.9183636389097500279e-2
0.6875,-3.9665877067004996975e-2
0.71875,-4.0103017743746292436e-2
0.75,-4.0496787045759207980e-2
0.78125,-4.0848884841898185944e-2
0.8125,-4.1160980092917197669e-2
0.84375,-4.1434708987014332766e-2
0.875,-4.1671673341451376007e-2
0.90625,-4.1873439251073667463e-2
0.9375,-4.2041535965386291063e-2
0.96875,-4.2177454976683960401e-2
1,-4.2282649302576724413e-2
1.0625,-4.2406480525396230218e-2
1.125,-4.2423867780515057614e-2
1.1875,-4.2345014931261348776e-2
1.25,-4.2179494241289222762e-2
1.3125,-4.1936255533087798976e-2
1.375,-4.1623640537053069006e-2
1.4375,-4.1249401315103007467e-2
1.5,-4.0820721796536065209e-2
1.5625,-4.0344241602935482097e-2
1.625,-3.9826081463720806972e-2
1.6875,-3.9271869635038353819e-2
1.75,-3.8686768832849310540e-2
1.8125,-3.8075503277222396837e-2
1.875,-3.7442385519935825588e-2
1.9375,-3.6791342792531108348e-2
2,-3.6125942667919614292e-2
2.125,-3.4764690158103187391e-2
2.25,-3.3380893667143208012e-2
2.375,-3.1992546016860143717e-2
2.5,-3.0614006768315793288e-2
2.625,-2.9256569141094533567e-2
2.75,-2.7928956692188607579e-2
2.875,-2.6637754243620913779e-2
3,-2.5387778675324632690e-2
3.125,-2.4182395682746718683e-2
3.25,-2.3023788648477438817e-2
3.375,-2.1913185548781598419e-2
3.5,-2.0851049420440506773e-2
3.625,-1.9837237428938613059e-2
3.75,-1.8871133059203093395e-2
3.875,-1.7951755430191128279e-2
4,-1.7077849236934052652e-2
4.25,-1.5460485772135633097e-2
4.5,-1.4005983819781217597e-2
4.75,-1.2700363297123330085e-2
5,-1.1529628635769327046e-2
5.25,-1.0480319602904775292e-2
5.5,-9.5398234676812298788e-3
5.75,-8.6965295919186351908e-3
6,-7.9398823583559494654e-3
6.25,-7.2603705713822085004e-3
6.5,-6.6494790292239552495e-3
6.75,-6.0996193425709172450e-3
7,-5.6040511429683592981e-3
7.25,-5.1568007787505107808e-3
7.5,-4.7525818629231948219e-3
7.75,-4.3867202112345294312e-3
8,-4.0550845058529494643e-3
8.5,-3.4803080320689123194e-3
9,-3.0038200730423322519e-3
9.5,-2.6064735088268323386e-3
10,-2.2732078678100135184e-3
10.5,-1.9921238368798521520e-3
11,-1.7537728545564371048e-3
11.5,-1.5506128819537536579e-3
12,-1.3765912602496586676e-3
12.5,-1.2268242847847486727e-3
13,-1.0973502711603008823e-3
13.5,-9.8493850303573441025e-4
14,-8.8694076171150357003e-4
14.5,-8.0117540399416460647e-4
15,-7.2583641282304594986e-4
15.5,-6.5942168884251411904e-4
16,-6.0067623305480228709e-4
17,-5.0214624075190757457e-4
18,-4.2364035359588057252e-4
19,-3.6039740293823056920e-4
20,-3.0893462029090394544e-4
21,-2.6666917740997538670e-4
22,-2.3166115227128249458e-4
23,-2.0243623997948872301e-4
24,-1.7786168206874021057e-4
25,-1.5705825282789891775e-4
26,-1.3933702561296821080e-4
27,-1.2415339859864883307e-4
28,-1.1107329413390023491e-4
29,-9.9748046768679522570e-5
30,-8.9895562129833298685e-5
31,-8.1286049382484212325e-5
32,-7.3731122557844199510e-5
34,-6.1190022427655263241e-5
36,-5.1317730481093460950e-5
38,-4.3444692626305321250e-5
40,-3.7092242993707590276e-5
42,-3.1912273902028818837e-5
44,-2.7647671765488970881e-5
46,-2.4105836661793535528e-5
48,-2.1140626874333870069e-5
50,-1.8639837421679130345e-5
52,-1.6516380353279949204e-5
54,-1.4701982946664278710e-5
56,-1.3142625142052210207e-5
58,-1.1795195584933060322e-5
60,-1.0625012841885594360e-5
62,-9.6039684467501426270e-6
64,-8.7091220182580587902e-6
68,-7.2259123240938137680e-6
72,-6.0601455761831955553e-6
76,-5.1314584558590535160e-6
80,-4.3826663792844797433e-6
84,-3.7723372962113554776e-6
88,-3.2699609996338131832e-6
92,-2.8527376360323476539e-6
96,-2.5034002510450617145e-6
100,-2.2087118126053020425e-6
104,-1.9584107389019804496e-6
108,-1.7444599638554237546e-6
112,-1.5605047739254746097e-6
116,-1.4014763872264531679e-6
120,-1.2632986813116835108e-6
124,-1.1426688587046255539e-6
128,-1.0368917416475169730e-6
136,-8.6142389747192901747e-7
144,-7.2335562761967171521e-7
152,-6.1324216776645806638e-7
160,-5.2435969396492512670e-7
168,-4.5183367550824820174e-7
176,-3.9207209116403050247e-7
184,-3.4238867287468885049e-7
192,-3.0074743920518885641e-7
200,-2.6558632173950741230e-7
208,-2.3569338159639176524e-7
216,-2.1011862044877589883e-7
224,-1.8811027808958841526e-7
232,-1.6906822896226889886e-7
240,-1.5250948489158078686e-7
248,-1.3804237933858693415e-7
256,-1.2534705159867091677e-7
272,-1.0426538267245525137e-7
288,-8.7654771790348324376e-8
304,-7.4390720941585462815e-8
320,-6.3671593740645223192e-8
336,-5.4915478185958153312e-8
352,-4.7693037741071878938e-8
368,-4.1682821091520166109e-8
384,-3.6640923307431522920e-8
400,-3.2380016128165153300e-8
416,-2.8754614768433515969e-8
432,-2.5650570278561063795e-8
448,-2.2977471787916317846e-8
464,-2.0663082743072182553e-8
480,-1.8649218612889985433e-8
496,-1.6888659246674647680e-8
512,-1.5342812721763998892e-8
544,-1.2773735380193404536e-8
576,-1.0747455286999143498e-8
608,-9.1279053719730363177e-9
640,-7.8179721685265607454e-9
672,-6.7470843445233003524e-9
704,-5.8631220179723024035e-9
736,-5.1270258682275326425e-9
768,-4.5091334808599197252e-9
800,-3.9866445342455925164e-9
832,-3.5418381710749197569e-9
864,-3.1608005071840153729e-9
896,-2.8325037621456461068e-9
928,-2.5481313837947307114e-9
960,-2.3005776477253452737e-9
992,-2.0840725877129315301e-9
1024,-1.8938980231353184532e-9
1088,-1.5776741208659732605e-9
1152,-1.3280955043353744214e-9
1216,-1.1284929406113493223e-9
1280,-9.6695970418545351573e-10
1344,-8.3483691600221232984e-10
1408,-7.2572529456132145218e-10
1472,-6.3482613509856995371e-10
1536,-5.5849309745022927422e-10
1600,-4.9392187800274244226e-10
1664,-4.3893182594322184655e-10
1728,-3.9180995949048144054e-10
1792,-3.5119801997987053352e-10
1856,-3.1600965316957206415e-10
1920,-2.8536897074143195829e-10
1984,-2.5856447798845140808e-10
2048,-2.3501417600187568947e-10
2176,-1.9584163734212277768e-10
2304,-1.6491212089057472615e-10
2432,-1.4016676756657144685e-10
2560,-1.2013419842019600838e-10
2688,-1.0374389229732274881e-10
2816,-9.0204352678553724131e-11
2944,-7.8921819406730864540e-11
3072,-6.9444956186839511994e-11
3200,-6.1426536785032335880e-11
3328,-5.4596471697973714257e-11
3456,-4.8742534640630401530e-11
3584,-4.3696401829937808984e-11
3712,-3.9323411724834236483e-11
3840,-3.5514965975038519932e-11
3968,-3.2182829267181510413e-11
4096,-2.9254810506087100345e-11
8192,-3.6483276128962971585e-12
16384,-4.5545143581027006774e-13
32768,-5.6891014795592229474e-14
65536,-7.1086269295303848428e-15
131072,-8.8839246051041072409e-16
262144,-1.1103655983938481845e-16
524288,-1.3878733905449529667e-17
1048576,-1.7347860461252436042e-18
2097152,-2.1684456010154093301e-19
4194304,-2.7105325599116797003e-20
8388608,-3.3881495842851158785e-21
16777216,-4.2351763832221046854e-22
2^25,-5.2939635277557655216e-23
2^26,-6.6174498601062487654e-24
2^27,-8.2718093534863446608e-25
2^28,-1.0339759754482331662e-25
2^29,-1.2924698432182641564e-26
2^30,-1.6155872220865244108e-27
2^31,-2.0194839744424693978e-28
2^32,-2.5243549336023478527e-29
2^33,-3.1554436447073571002e-30
2^34,-3.9443045414720440315e-31
2^35,-4.9303806675340746279e-32
2^36,-6.1629758284148647709e-33
2^37,-7.7037197816503189162e-34
2^38,-9.6296497245723869108e-35
2^39,-1.2037062154113383832e-35
2^40,-1.5046327691611961179e-36
2^41,-1.8807909613853560946e-37
2^42,-2.3509887016892466387e-38
2^43,-2.9387358770843332664e-39
2^44,-3.6734198463379667304e-40
2^45,-4.5917748079112808753e-41
2^46,-5.7397185098819455206e-42
2^47,-7.1746481373478536597e-43
2^48,-8.9683101716818894191e-44
2^49,-1.1210387714600490580e-44
2^50,-1.4012984643249417848e-45
