x,pdf'(x),error,accurate_bits
-8,2.2099259259087291488637000274644729e-25,1.97350375E-22,-9
-7.75,2.1220024150642634707438467490204891e-25,1.79811163E-22,-10
-7.5,-5.6881910692796614661682135292752286e-26,2.82531136E-22,-12
-7.25,3.0701942364814795234230691652506184e-25,9.25539703E-23,-8
-7,3.5404358399160183804549858706804292e-25,3.13031693E-23,-7
-6.75,2.6717599319287114557463104851815185e-25,6.74985891E-23,-8
-6.5,2.7365008737492897692744784902384103e-25,1.22388286E-22,-9
-6.25,3.3701209423580884485399942514305311e-25,2.95036397E-22,-10
-6,3.6121050685990052272868546097091062e-25,6.05068653E-22,-11
-5.75,3.6195631946522631407159448257177427e-25,5.01849801E-22,-11
-5.5,2.8421088399856765640506643157962084e-25,3.95101415E-22,-10
-5.25,3.1039047208100154989443868943791825e-25,4.49536839E-22,-11
-5,3.102381846472368672218272586172773e-22,7.46942926E-22,-1
-4.75,3.7362746287242062731095283225822643e-17,8.34330764E-22,16
-4.5,3.1120426292308121534144640954356544e-13,8.23443531E-22,29
-4.25,3.233749593310849223819509665976987e-10,6.02396546E-22,39
-4,6.6400779407740706414623852788860748e-8,1.06976514E-21,46
-3.875,5.8126569863067987479416653683564087e-7,6.74672891E-22,50
-3.75,3.8543601387278114399306450263114057e-6,4.51512814E-22,52
-3.625,2.0000080919190531587173330623172303e-5,1.34440305E-21,54
-3.5,8.3574164594805236469960746330430852e-5,1.05974783E-21,56
-3.375,2.8844302397086886888505150653601435e-4,8.19473158E-22,59
-3.25,8.4077960480477081805749669178610787e-4,7.12044050E-22,60
-3.125,0.002110938715237307263995768665452766,8.57414440E-22,62
-3,0.0046447409835118250930568515369080663,8.31986302E-22,63
-2.875,0.0090941446644213186583472520007290569,5.03166773E-22,64
-2.75,0.016058410334927381624078472149126849,9.94729320E-22,63
-2.625,0.025876366665296240886674067361476722,6.67077694E-22,65
-2.5,0.038446457143331785307703514049445736,8.52040814E-22,66
-2.375,0.053148948115855247870334492059608792,4.93648089E-22,66
-2.25,0.068905035116437258734748552168042442,7.03032086E-22,67
-2.125,0.084354300976121219921624460698837302,9.14693804E-22,66
-2,0.09809258408792080111723927884504794,8.91308413E-22,66
-1.9375,0.10392692871979001813130419444192347,7.30453972E-22,67
