x,pdf'(x),error,accurate_bits
-0.125,-0.0073090629127251987539158430417187924,2.25797034E-24,71
-0.15625,-0.0050616178314918382212815797370640052,2.25797034E-24,71
-0.1875,-0.0027310325309918336494185424140778191,2.25797034E-24,70
-0.21875,-3.1750201079855469541219094069783899e-4,2.25797034E-24,67
-0.25,0.0021785268635328369366529046752183652,2.25797034E-24,70
-0.28125,0.0047563367726808905573855092575710472,2.25797034E-24,71
-0.3125,0.007414921025403367885790471669148942,2.25797034E-24,71
-3,0.0046447409835118250930506008633729004,2.25797034E-24,71
-3.125,0.0021109387152373072639959604027729936,2.25797034E-24,70
-3.25,8.4077960480477081805705622071523244e-4,2.25797034E-24,68
-3.375,2.8844302397086886888520665297745933e-4,2.25797034E-24,67
-3.5,8.3574164594805236469905353421474951e-5,2.25797034E-24,65
-3.625,2.0000080919190531587207100323242195e-5,2.25797034E-24,63
-3.75,3.8543601387278114398800861213237592e-6,2.25797034E-24,60
-3.875,5.812656986306798748782334510470171e-7,2.25797034E-24,58
-4,6.6400779407740706268326446562824282e-8,2.25797034E-24,55
-4.125,5.5377617450739082682251189785357026e-9,2.25797034E-24,51
-4.25,3.2337495933108498394743360259438441e-10,2.25797034E-24,47
-4.375,1.2610025049368264551602233249007261e-11,2.25797034E-24,42
-4.5,3.1120426292293140135558045859418704e-13,2.25797034E-24,37
-4.625,4.5737155197332572416111530555034771e-15,2.25797034E-24,31
-4.75,3.7362746230003849433760073194694962e-17,2.25797034E-24,24
-4.875,1.5689779411046116967969773471741264e-19,2.25797034E-24,16
-5,3.1030754589992150629370589530272996e-22,2.25797034E-24,7
-5.125,5.8320038221339470509418882897043037e-25,2.25797034E-24,-2
-5.25,3.2265040386043716750031309954301849e-25,2.25797034E-24,-3
-5.375,3.2256717982395479251573237515678859e-25,2.25797034E-24,-3
-5.5,3.2256717094917661909215946985210265e-25,2.25797034E-24,-3
-5.625,3.2256717094890136075468423925302e-25,2.25797034E-24,-3
-5.75,3.2256717094889895360797703698745127e-25,2.25797034E-24,-3
-5.875,3.2256717094889665952450600745826577e-25,2.25797034E-24,-3
