lambda,pdf,error
-20,1.9998617218187979002448182511140285869932856295026060352867032927e-77513875,6.97096145e-77513941
-19.75,2.8548153289610435377006650404192739581304160823504603102251213058e-60367866,9.95108609e-60367932
-19.5,6.3052844507016064073393381121476445201893043947297362335357931426e-47014541,2.19784089e-47014606
-19.25,1.0527119825940569231665423186661865119447919279059816727799732656e-36614960,3.66945186e-36615026
-19,1.7032560649092135798205647804529552802824058265888344612799680941e-28515759,5.93705700e-28515825
-18.75,2.9044957364724714990214958866211196160291732481258625623982187292e-22208095,1.01242243e-22208160
-18.5,1.9684877175200746066995344631046740061032151280466049067477876309e-17295681,6.86154754e-17295747
-18.25,1.0483984461300388286232515486987153387344044625628755985714338879e-13469889,3.65440277e-13469955
-18,3.9893455200604018145211095699142757777507141893880396829233144965e-10490360,1.39056642e-10490425
-17.75,3.6247172792212143934400111659485702995174861753239054446530931520e-8169900,1.26346756e-8169965
-17.5,3.8013010855343297646301039697972629455889099054490062897924545969e-6362724,1.32501938e-6362789
-17.25,4.6554373661794590049655516153696733516375975528215781628962219677e-4955294,1.62274621e-4955359
-17,2.0446874017583528583275354961514267063435728807110055651993580976e-3859186,7.12716865e-3859252
-16.75,6.1525888076588041472407251368863159153330903381323065875313392256e-3005537,2.14460821e-3005602
-16.5,4.5637329901131511549225223698785467975028213329842396228184794763e-2340714,1.59078063e-2340779
-16.25,1.6568229974333602324957692481322928504984863382319894664132841303e-1822949,5.77518843e-1823015
-16,4.4875384295968589450604187400802292730569552435181311509974168201e-1419714,1.56422157e-1419779
-15.75,5.1377604554543570524622051485259233370177460966449872127297208278e-1105674,1.79086983e-1105739
-15.5,2.2001290083126730154252317944604357323895877755022947885506281134e-861099,7.66899417e-861165
-15.25,1.7583579526471883991370965075807877930761865228379338951626116476e-670624,6.12911324e-670690
-15,1.7236357031459795878718719767690137873554572183147017899691662214e-522282,6.00808309e-522348
-14.75,1.2118638712530760781098373714543409130261683909587915922657171230e-406753,4.22419991e-406819
-14.5,1.0665054652454650463499904021438412415810352907234427202357448779e-316779,3.71752529e-316845
-14.25,6.2286612614021550477485917198291438828007207568464829201325807646e-246708,2.17113006e-246773
-14,5.3574072949876579500452686545958041226054858865371166627570037627e-192136,1.86743798e-192201
-13.75,2.4116566742716702975916000391460687908532430354124880643898468111e-149635,8.40635107e-149701
-13.5,8.1738325702482272519012838705714334523011057526258981861158502598e-116536,2.84917200e-116601
-13.25,6.9244727141361880455955955855375627589124916792188642067910260447e-90758,2.68409721e-90823
-13,4.9987392169117171324104472556137479089445809896995665136492618127e-70682,1.93621533e-70747
-12.75,6.0416073574687892282867073420760641795834950730842737971421271372e-55047,2.33794925e-55112
-12.5,2.4181137234602405944940197959772586405471095504182495467267893920e-42870,9.34607219e-42936
-12.25,3.3028876232612859787800434836958208210216254876652861517161636413e-33387,1.27456000e-33452
-12,9.5537619276367437387157340139344102078845793122758417256715508773e-26002,3.67918502e-26067
