quantile,x
0.5,1.3557804209908013250320928093906509105171140860241188701027839045e0
0.4999,1.3550123314221039701296763998552565181624457294595527114052887165e0
0.4998,1.3542444308833855224700122138223993186484189322930515835645212117e0
0.4997,1.3534767192531747399419322353591706460501033701950494583731879659e0
0.4996,1.3527091964100838317667242763410962521768385425056416192031880815e0
0.4995,1.3519418622328083706989853478268726435597487288464884259181357163e0
0.4994,1.3511747166001272053245170136614190020829924265974809604714929390e0
0.4993,1.3504077593909023724551216497980345934015319396472937324004100698e0
0.4992,1.3496409904840790096201587465218020080770098863044286326177519207e0
0.4991,1.3488744097586852676547206040517676771228105954045993196961817879e0
0.499,1.3481080170938322233842869848996230114342957627052638268098013431e0
0.4989,1.3473418123687137924057184988683606772386243118663951012039904051e0
0.4988,1.3465757954626066419644487086864476738459043039777203431959871647e0
0.4987,1.3458099662548701039277351559921950589658412840361231329398272580e0
0.4986,1.3450443246249460878538297187099667047013933977693777593090760041e0
0.4985,1.3442788704523589941569289217954080026992263209513091679175203097e0
0.4984,1.3435136036167156273677650338717399170401710362237366712472018028e0
0.4983,1.3427485239977051094896989924341024679854127817232092132706764482e0
0.4982,1.3419836314750987934501764100646911947407960233748965365113136621e0
0.4981,1.3412189259287501766474081234787552873393367121392067962469948926e0
0.498,1.3404544072385948145921369562111601171301579762961792833589330785e0
0.4979,1.3396900752846502346443525743559013808226751107465774751051469803e0
0.4978,1.3389259299470158498448165229874328851226906569958235617357667550e0
0.4977,1.3381619711058728728412597387236733540592676792716094795116039419e0
0.4976,1.3373981986414842299091150413368260951268998769089219360625744712e0
0.4975,1.3366346124341944750666473143804138128269143029583160838173630331e0
0.4974,1.3358712123644297042843442914799325558659704960229762259042199568e0
0.4973,1.3351079983126974697884310712309953250681595537136970199226275804e0
0.4972,1.3343449701595866944583716895634972058291454313362400958070489271e0
0.4971,1.3335821277857675863182212839639183332718545338597465275929523000e0
0.497,1.3328194710719915531216925891011152242652744641481131544472803210e0
0.4969,1.3320569998990911170308007081745600585576523872122645969407715185e0
0.4968,1.3312947141479798293879503086986947719430709131047627856348525693e0
0.4967,1.3305326136996521855813295954535941219487191008326161541966415031e0
0.4966,1.3297706984351835400034756169711993629031436739356222634143009286e0
0.4965,1.3290089682357300211028756651887103656475717502372892986689110401e0
0.4964,1.3282474229825284465284697307870258658565532791836936950955585371e0
0.4963,1.3274860625568962383669191792431143409826956016863318454831575425e0
0.4962,1.3267248868402313384725070147615955087530438246957509442635453056e0
0.4961,1.3259638957140121238895353010133267156190214763472015944098626749e0
0.496,1.3252030890597973223670855089981300471623187201578236932525131504e0
0.4959,1.3244424667592259279660077633656737532974644364689618726775399661e0
0.4958,1.3236820286940171167580051591736428555173315392891435779935912119e0
0.4957,1.3229217747459701626166795213364043186079021421617554401415703488e0
0.4956,1.3221617047969643531004051789210960669496846898593458919482818287e0
0.4955,1.3214018187289589054268975259821489656319374466642061724764466313e0
