# scale_pdf := (lambda >= 0) ? ( pdf * (lambda^2 + pi^2) ) : ( pdf * sqrt(2 pi) * exp(sigma) / sqrt(sigma) )
# sigma := exp(-lambda-1)
lambda,scaled_pdf,error
-20,1.0000000002334498509373162371870232016537189050440443067440349519944772364185300904724338029392039861410700660409682428348476990718841084387943949091814576832150722768934,4.34171244e-167
-19.9375,1.0000000002485060727149454179513146992491244803729302129464815530756306301858379863346847580412842315373498633054951928136593967014983361267603528660014594063258618620946,4.14317666e-167
-19.875,1.0000000002645333373637409769324830122652570819380772408485560138226923290980132907150265768946650667885070774646944530708763187336060666387875334366870041842494808933458,3.91904946e-167
-19.8125,1.0000000002815942717675020125925259741209374736142216452012492976659773356852661862732446868410253045788728483936058147454366272897478124512709024314484603973534952971157,4.04569248e-167
-19.75,1.000000000299755541896910389366972338767364112647859123233310349515438882614591075810258127741802350627693782353137639907270006031057088438524578898896822083651386980641,3.69518398e-167
-19.6875,1.0000000003190881133082402401865186492666840655362878482881914395694355060572005803314566108174753779847865562368111821454823324019534513338123418277460213857169199617474,3.65083303e-167
-19.625,1.0000000003396675284427889865056857340020498598168838026705982436585264950567262105507993552586982707096706768772347677361397793256358171845116752414219092539731557224328,3.66464147e-167
-19.5625,1.0000000003615742018105830797848382759850286611078330022552752663894130493225180044328162009127928101962340364867461766904021112890383510226190444597060421165090823187586,3.53070899e-167
-19.5,1.0000000003848937342117948140461517286240008110294882271889470604431616504274993131761377600584850237454064306596018148267360368353540548338773982429890451278328390954926,3.40628234e-167
-19.4375,1.000000000409717247223696776215593627323511804417347614491974071932579811828617099916592076986440565399425541370980472028854205136936652925880163775347336594941299406781,3.37013917e-167
-19.375,1.000000000436141739260168470038123412361263482944365603335995694499533253995716455895996366955970055067078778810702616978573825789419227906024597090178155211552406988027,3.25802838e-167
-19.3125,1.0000000004642704645950647981890123662283062520835081496718482571498969567845432669520163570223599334101774669164883311594227218504884720159802744419550275478054987164449,3.27524285e-167
-19.25,1.0000000004942133368304877998690067324222713494263215172407036714009134944207340208847569267976024783767130835300214525976060657424453317847676890946104362715517923149519,3.20802745e-167
-19.1875,1.000000000526087358386521945084086641238985319157356636115911747013707599729215137664478667227635680888069404755523649269538977509425219471204446754600342387690933140382,3.08036870e-167
-19.125,1.0000000005600170776906726228069301151345617203584952686198461416506846669874087480960036370678032395009264530075315765510152568964471021280617879512060344101409159283289,2.90434880e-167
-19.0625,1.0000000005961350758534845409734620038904916740401310166618746075091944646988398137204469973877309161544424082647814905831853932469788634207710899004778950632494139847596,2.97601051e-167
-19,1.0000000006345824847320345187859552812030498506759754707211852684467947043662717691275102161464233781043677083085711064716237032263295781942142576781892691340555987678556,3.01789019e-167
-18.9375,1.0000000006755095384056418100095276150456623115963483504723952239481901859426454293727810631857478283596559903063703058835741994825777645484609879021764496457207910701118,2.92812074e-167
-18.875,1.000000000719076160218697899920408964155216339369728367178170562759085119727951398386230157606765068535407685375663386979365616790703624405338684293390183568702276568908,2.85528108e-167
-18.8125,1.0000000007654525876844968271193130300728161062967281483595940357420928585513447577991475702084494829981149173737352864736360857619120073189382982216730052425972798090027,2.80216157e-167
-18.75,1.0000000008148200376918895555743110843975725042842371043290039253433645728700644020215978216783971437544265811611802225737704439495002632994521269627371005399122009203469,2.78075491e-167
-18.6875,1.0000000008673714146140698471806236349904072666629777809888105667881249859917216047112974455278467760589924776994282623064038222483413609202804081949144079126569608579983,2.82443615e-167
-18.625,1.0000000009233120640864398289881465522924840482980424615803893805952103867074975841995971043272937569074144468223885681931583551754365733265509490214319309137525661702669,2.73531949e-167
-18.5625,1.0000000009828605753989560677190881534312901592783633238121445490761883625770999920377195061646962982260170609497658235176897728431418686987745666436174181097335571624648,2.70667589e-167
-18.5,1.0000000010462496356383187600237578193935533545087186179138540675878077740009294714127378816081210545712729038528622302677442192094986439643557872764118099462864981625824,2.66844802e-167
-18.4375,1.0000000011137269389175798945779253553616541518041071689094634536247728558846896522603910014521157956456817331123323786196461046710180870278840357139470767825676388008785,2.64790764e-167
-18.375,1.0000000011855561542460010881851720862565916067031366227923337192979596770717477658419262085925795451085283036773657772590300162610164315371269983977528206047899630071685,2.63178171e-167
-18.3125,1.0000000012620179558211293486062022546495130849661849942315711526156405642478481991983647483197005053900545594798911355735541602376775157139250663150424162145790510392959,2.63496797e-167
-18.25,1.0000000013434111197689746240395819008785225475898486040107479997009888818128844446540484119463101550044399651138326260804160021606208792077385393231961301006610968853253,2.58654566e-167
-18.1875,1.0000000014300536916178197597074405187405624844279857023420133154724229463169213138453600376998054743512622569589308002877533230853826910388279414471366139611321246972035,2.54637699e-167
-18.125,1.000000001522284229067585961182629400666255979578242851734529263423034922466195726895783160291144588921831475026532371375082899130379776107850854193349291840468970350129,2.49460764e-167
-18.0625,1.0000000016204631249108950601818152095004048545245724024480442852832018236328622699870459624775560009100117222996986812856156994643487068089802906035931872737917490175312,2.51171579e-167
-18,1.0000000017249740152751634426557337144657715451862361362194147519624554883179714775468951448164215024399002470630801141586007703647233595895534236080901627328372620617076,2.52331858e-167
-17.9375,1.0000000018362252786884552271948524917706665857470448153922427216514415208275144851263963023397961391805475689887281232645322457011207943068580265963031202053302563666982,2.51008583e-167
-17.875,1.0000000019546516318267168968266292490201543100231630668432840767842462712009738597412036232854119573967851655901520797214424769625564320610091188130936089949054353360174,2.49636507e-167
-17.8125,1.0000000020807158281777988288880056082948084225331818109425467131054919454880389723248792380550394157151844137003068107569333089566516884774216688902821326957910903168261,2.43854623e-167
-17.75,1.0000000022149104662598172108025155068324648708763134623671509623310282985703742777125976485743218171211746187482790067002063678146341374529285122012454772982888296778735,2.43029440e-167
-17.6875,1.0000000023577599144594940524279336409126957735755081797540836409950699421671368763597049946694392472875728540735352159326762246227377894817111823754326399077020793663118,2.40081632e-167
-17.625,1.0000000025098223600118061293017843480815319065815099610460864946412034454390106233121144407302294731205632670667228568451096502235473857918186350706695218315171934598366,2.40469861e-167
-17.5625,1.0000000026716919901273563154813801029601362785765969616677188310105924464145238754290237922505431707801116470791287802157465672156398589350649574890417909961111770186973,2.38497685e-167
-17.5,1.0000000028440013137902483256338224633414326985898988972797608484088035386843136924394822876117269611827061316849868162374354949450158831492801895859122913248345129770191,2.38715255e-167
-17.4375,1.0000000030274236332989160613684759492215377654308478649372322642323776864467569806309845700824030869470777179946050668480656298576150931564655468568209055869794813934131,2.38544479e-167
-17.375,1.0000000032226756752074793497152056557373000089215773355039249378874998901754078110108779086163377573439225334857769480481689535868527145396678750567753901432364043266058,2.38059705e-167
