lambda,pdf,cdf,1-cdf,pdf_derivative
-8,0,0,1,0
-7.75,1.4241766197340637510e-370,1.6665645190483030779e-373,1,1.2155961846133000909e-367
-7.5,1.3963580741658513783e-288,2.0977644853283045445e-291,1,9.2805290981623684379e-286
-7.25,9.7244281937459376902e-225,1.8754486349001651625e-227,1,5.0323214936551173495e-222
-7,4.9749117858699009892e-175,1.2316337907401396416e-177,1,2.0044222879849147802e-172
-6.75,2.5020395868677504010e-136,7.9508273092269030541e-139,1,7.8486678082625901286e-134
-6.5,3.3646333457816195657e-106,1.3722551000771884481e-108,1,8.2161688868157976253e-104
-6.25,9.5312302682245152520e-83,4.9885041497712773531e-85,1,1.8115674440504796799e-80
-6,1.7051074447851705700e-64,1.1450581306161646013e-66,1,2.5220830429002250762e-62
-5.75,2.7220643235841339923e-50,2.3449818439039332385e-52,1,3.1326779804069800761e-48
-5.5,3.0502060150089809970e-39,3.3699400957557151075e-41,1,2.7304708885780129028e-37
-5.25,1.1957721085544374731e-30,1.6937499753853328863e-32,1,8.3232911528985219921e-29
-5,5.7299682705730103032e-24,1.0401083461973864142e-25,1,3.0998497872897259361e-22
-4.75,8.8912261312855366022e-19,2.0672040957441121352e-20,9.9999999999999999998e-1,3.7362745907436678485e-17
-4.5,9.5412628518507043281e-15,2.8394470726841722797e-16,9.9999999999999971606e-1,3.1120426292260883418e-13
-4.25,1.2785713783348865918e-11,4.8662884482527691674e-13,9.9999999999951337116e-1,3.2337495933108466138e-10
-4,3.3899538635808424464e-9,1.6484018900019493678e-10,9.9999999983515981100e-1,6.6400779407740705946e-8
-3.875,3.3740267881363930373e-8,1.8536001351650185681e-9,9.9999999814639986484e-1,5.8126569863067987456e-7
-3.75,2.5449478726175362333e-7,1.5790361960475750996e-8,9.9999998420963803952e-1,3.8543601387278114396e-6
-3.625,1.5029292380687386694e-6,1.0527591140688720672e-7,9.9999989472408859311e-1,2.0000080919190531587e-5
-3.5,7.1518498698243676772e-6,5.6532832980752883469e-7,9.9999943467167019247e-1,8.3574164594805236470e-5
-3.375,2.8128209664277938267e-5,2.5079146939443777972e-6,9.9999749208530605562e-1,2.8844302397086886889e-4
-3.25,9.3505770508751683307e-5,9.3988454165070266140e-6,9.9999060115458349297e-1,8.4077960480477081806e-4
-3.125,2.6797449752574387452e-4,3.0349511101076773167e-5,9.9996965048889892323e-1,2.1109387152373072640e-3
-3,6.7372861390806443293e-4,8.5921266252089708850e-5,9.9991407873374791029e-1,4.6447409835118250931e-3
-2.875,1.5090405322042904829e-3,2.1656435992354463179e-4,9.9978343564007645537e-1,9.0941446644213186583e-3
-2.75,3.0524170678404778510e-3,4.9259520485740286333e-4,9.9950740479514259714e-1,1.6058410334927381624e-2
-2.625,5.6431765594472025979e-3,1.0232839988484889959e-3,9.9897671600115151100e-1,2.5876366665296240887e-2
-2.5,9.6369248034230374967e-3,1.9619094349325484410e-3,9.9803809056506745156e-1,3.8446457143331785308e-2
-2.375,1.5344299098666103396e-2,3.5040682146399482734e-3,9.9649593178536005173e-1,5.3148948115855247870e-2
-2.25,2.2968463042829752952e-2,5.8780700091531217050e-3,9.9412192999084687830e-1,6.8905035116437258735e-2
-2.125,3.2557832575769952123e-2,9.3283162289793919167e-3,9.9067168377102060808e-1,8.4354300976121219922e-2
-2,4.3985478379363886601e-2,1.4094357934148776054e-2,9.8590564206585122395e-1,9.8092584087920801117e-2
-1.9375,5.0302772980055123376e-2,1.7038965925726451080e-2,9.8296103407427354892e-1,1.0392692871979001813e-1
-1.875,5.6958412565992413813e-2,2.0389258154529440097e-2,9.7961074184547055990e-1,1.0890141444268167365e-1
-1.8125,6.3895520782563937047e-2,2.4164634991302465656e-2,9.7583536500869753434e-1,1.1292023846092517884e-1
-1.75,7.1052095303906114372e-2,2.8380772808181761103e-2,9.7161922719181823890e-1,1.1591534524273115015e-1
-1.6875,7.8362760425095097039e-2,3.3049358254502993018e-2,9.6695064174549700698e-1,1.1784679631038906440e-1
-1.625,8.5760503634986165690e-2,3.8177931966667932412e-2,9.6182206803333206759e-1,1.1870191926302770802e-1
-1.5625,9.3178326199171816506e-2,4.3769838456241946502e-2,9.5623016154375805350e-1,1.1849344464642079787e-1
-1.5,1.0055075172901865837e-1,4.9824274974910163226e-2,9.5017572502508983677e-1,1.1725686457199733013e-1
-1.4375,1.0781515157057547673e-1,5.6336429116277958238e-2,9.4366357088372204176e-1,1.1504725150421435543e-1
-1.375,1.1491286044707405962e-1,6.3297692801797284634e-2,9.3670230719820271537e-1,1.1193576362159315445e-1
-1.3125,1.2179006924117282686e-1,7.0695939065913201440e-2,9.2930406093408679856e-1,1.0800603921801191264e-1
-1.25,1.2839849350344398806e-1,7.8515847611795490634e-2,9.2148415238820450937e-1,1.0335065118786092316e-1
-1.1875,1.3469582587988238271e-1,8.6739265332280421022e-2,9.1326073466771957898e-1,9.8067757647499465134e-2
-1.125,1.4064598804419149227e-1,9.5345588745253049414e-2,9.0465441125474695059e-1,9.2258049376960200681e-2
-1.0625,1.4621920295568606367e-1,1.0431215644127179980e-1,8.9568784355872820020e-1,8.6022061414663386958e-2
-1,1.5139191152148557738e-1,1.1361464105402330181e-1,8.8638535894597669819e-1,7.9457886427318615176e-2
-0.96875,1.5382236368157077944e-1,1.1838388882962271049e-1,8.8161611117037728951e-1,7.6082245722656564508e-2
-0.9375,1.5614655928241809802e-1,1.2322743182544340030e-1,8.7677256817455659970e-1,7.2659302346588561041e-2
-0.90625,1.5836319007204598756e-1,1.2814192820300004746e-1,8.7185807179699995254e-1,6.9199863966203635435e-2
-0.875,1.6047127886631768423e-1,1.3312400044900388005e-1,8.6687599955099611995e-1,6.5714306590148075414e-2
-0.84375,1.6247016565026204116e-1,1.3817024550612521683e-1,8.6182975449387478317e-1,6.2212549259345385221e-2
-0.8125,1.6435949297019491788e-1,1.4327724445791977793e-1,8.5672275554208022207e-1,5.8704033913885222851e-2
-0.78125,1.6613919077328180360e-1,1.4844157174823065209e-1,8.5155842825176934791e-1,5.5197710106167189250e-2
-0.75,1.6780946084066212368e-1,1.5365980392010946302e-1,8.4634019607989053698e-1,5.1702024217902317272e-2
-0.71875,1.6937076094943407915e-1,1.5892852786369801587e-1,8.4107147213630198413e-1,4.8224912831659677510e-2
-0.6875,1.7082378888783957351e-1,1.6424434856656871691e-1,8.3575565143343128309e-1,4.4773799905640349623e-2
-0.65625,1.7216946643703522202e-1,1.6960389636373633624e-1,8.3039610363626366376e-1,4.1355597402629258846e-2
-0.625,1.7340892342201156848e-1,1.7500383368792738871e-1,8.2499616631207261129e-1,3.7976709030008569324e-2
-0.59375,1.7454348192363391786e-1,1.8044086132373229100e-1,8.1955913867626770900e-1,3.4643036756740324555e-2
-0.5625,1.7557464073351274380e-1,1.8591172417197828137e-1,8.1408827582802171863e-1,3.1359989784805340927e-2
-0.53125,1.7650406012354147419e-1,1.9141321653305912999e-1,8.0858678346694087001e-1,2.8132495666225983027e-2
-0.5,1.7733354699252185004e-1,1.9694218692005420768e-1,8.0305781307994579232e-1,2.4965013272051424120e-2
-0.46875,1.7806504044337583927e-1,2.0249554241427937851e-1,7.9750445758572062149e-1,2.1861547336137934113e-2
-0.4375,1.7870059783605005731e-1,2.0807025257745147567e-1,7.9192974742254852433e-1,1.8825664313849450727e-2
-0.40625,1.7924238135337487268e-1,2.1366335293593367292e-1,7.8633664706406632708e-1,1.5860509313613103343e-2
-0.375,1.7969264510985750190e-1,2.1927194805357824279e-1,7.8072805194642175721e-1,1.2968823877308867826e-2
-0.34375,1.8005372282666987351e-1,2.2489321421051360124e-1,7.7510678578948639876e-1,1.0152964403508924449e-2
-0.3125,1.8032801608993428431e-1,2.3052440170585177231e-1,7.6947559829414822769e-1,7.4149210254033678858e-3
-0.28125,1.8051798320380335438e-1,2.3616283680273785497e-1,7.6383716319726214503e-1,4.7563367726808905574e-3
-0.25,1.8062612864476103931e-1,2.4180592333444175029e-1,7.5819407666555824971e-1,2.1785268635328369367e-3
-0.21875,1.8065499311901997903e-1,2.4745114399032080319e-1,7.5254885600967919681e-1,-3.1750201079855469541e-4
-0.1875,1.8060714422083555430e-1,2.5309606130047599537e-1,7.4690393869952400463e-1,-2.7310325309918336494e-3
-0.15625,1.8048516768597453246e-1,2.5873831833779903842e-1,7.4126168166220096158e-1,-5.0616178314918382213e-3
-0.125,1.8029165923144016862e-1,2.6437563915587752255e-1,7.3562436084412247745e-1,-7.3090629127251987539e-3
-0.09375,1.8002921696983893216e-1,2.7000582898090370487e-1,7.2999417101909629513e-1,-9.4734064642070491690e-3
-0.0625,1.7970043438444879172e-1,2.7562677417533224326e-1,7.2437322582466775674e-1,-1.1554903166983093026e-2
-0.03125,1.7930789384908708831e-1,2.8123644199056499057e-1,7.1876355800943500943e-1,-1.3554006532674299009e-2
0,1.7885416067524943505e-1,2.8683288012541777457e-1,7.1316711987458222543e-1,-1.5471352326106196999e-2
0.03125,1.7834177766767219445e-1,2.9241421610655494827e-1,7.0758578389344505173e-1,-1.7307742609093318223e-2
0.0625,1.7777326016843296921e-1,2.9797865650647159510e-1,7.0202134349352840490e-1,-1.9064130434386666906e-2
0.09375,1.7715109156892014497e-1,3.0352448601396897847e-1,6.9647551398603102153e-1,-2.0741605211047196675e-2
