u = -log2(cdf),v = pow2(-x),g,gg
7.6522071909409256972e-1,2.2925101080116780794e-1,6.4494041775988931073e-1,4.6170620542036686318e-1
7.9704213997977481240e-1,2.5000000000000000000e-1,6.5891300064729197020e-1,4.1720033994905839891e-1
8.1375332037603182633e-1,2.6106844560685346008e-1,6.6570206551490411539e-1,3.9550189435198300569e-1
8.3102912895691517377e-1,2.7262693316631441480e-1,6.7234909932368778835e-1,3.7420464799088116151e-1
8.4889430440226003321e-1,2.8469715868917291343e-1,6.7884618125907121242e-1,3.5333102314731999483e-1
8.6737487162750942557e-1,2.9730177875068026668e-1,6.8518540076780679545e-1,3.3290237201892899162e-1
8.8649821717293638338e-1,3.1046445301837101215e-1,6.9135887406700659233e-1,3.1293891081651255607e-1
9.0629316939670731555e-1,3.2420988866275241648e-1,6.9735876126667970634e-1,2.9345965726723970551e-1
9.2679008379469866262e-1,3.3856388673422318207e-1,7.0317728407307582900e-1,2.7448237191151498792e-1
9.4802093379221927870e-1,3.5355339059327376220e-1,7.0880674403523703691e-1,2.5602350357290076457e-1
9.7001940737654976432e-1,3.6920653648487482785e-1,7.1423954129211689373e-1,2.3809813936906535598e-1
9.9282100996458551774e-1,3.8555270635198520590e-1,7.1946819377246761691e-1,2.2071995961707663244e-1
1.0164631739269665064e0,4.0262258298731357705e-1,7.2448535679445205093e-1,2.0390119796837548548e-1
1.0409853752190034898e0,4.2044820762685727152e-1,7.2928384300664074977e-1,1.8765260708740715953e-1
1.0664292575995835797e0,4.3906304009332487078e-1,7.3385664260674280912e-1,1.7198343016315263126e-1
1.0928387649521799350e0,4.5850202160233561587e-1,7.3819694376913331352e-1,1.5690137851471514673e-1
1.1202602822572300255e0,4.7880164034928682347e-1,7.4229815320702537378e-1,1.4241261552074558541e-1
1.1487427858026202235e0,5.0000000000000000000e-1,7.4615391679003951434e-1,1.2852174706794277892e-1
1.1633979602466087740e0,5.1094857432705833912e-1,7.4798784118333643982e-1,1.2180153591096338063e-1
1.1783380032589646338e0,5.2213689121370692016e-1,7.4975814013300008457e-1,1.1523181867629300177e-1
1.1935698386905159952e0,5.3357020033841180909e-1,7.5146409578489896167e-1,1.0881273288946244032e-1
1.2091005842889438211e0,5.4525386633262882960e-1,7.5310500906709327938e-1,1.0254431941831338005e-1
1.2249375576571370509e0,5.5719337129794626815e-1,7.5468020031652397926e-1,9.6426522971787781690e-2
1.2410882824053330126e0,5.6939431737834582685e-1,7.5618900990011327202e-1,9.0459192706579926009e-2
1.2575604945035042045e0,5.8186242938878875691e-1,7.5763079882948036496e-1,8.4642082941416863231e-2
1.2743621488406663191e0,5.9460355750136053336e-1,7.5900494936846363545e-1,7.8974853978541922424e-2
1.2915014259980028429e0,6.0762367999023443906e-1,7.6031086563262909529e-1,7.3457073031782343648e-2
1.3089867392429289642e0,6.2092890603674202430e-1,7.6154797417993468085e-1,6.8088215260386451446e-2
1.3268267417514520601e0,6.3452547859586661128e-1,7.6271572459171075615e-1,6.2867664907618546096e-2
1.3450303340664279222e0,6.4841977732550483297e-1,7.6381359004310929731e-1,5.7794716542901323579e-2
1.3636066717995613154e0,6.6261832157987064732e-1,7.6484106786216760310e-1,5.2868576406096637914e-2
1.3825651735852566744e0,6.7712777346844636415e-1,7.6579768007662711022e-1,4.8088363852316299575e-2
1.4019155292946899352e0,6.9195494098191597744e-1,7.6668297394764404962e-1,4.3453112895455884343e-2
